Date,County_Name,Oil_Production,Unemployment_Rate,Labor_Force,SP500
01/1990,"Adams County, ND",0.0,2.1,1734,339.97136363636366
01/1990,"Billings County, ND",625575.0,8.7,416,339.97136363636366
01/1990,"Bottineau County, ND",208526.0,5.2,3684,339.97136363636366
01/1990,"Bowman County, ND",105930.0,2.9,1851,339.97136363636366
01/1990,"Burke County, ND",74468.0,3.7,1254,339.97136363636366
01/1990,"Divide County, ND",113829.0,1.7,1149,339.97136363636366
01/1990,"Dunn County, ND",123539.0,3.1,2366,339.97136363636366
01/1990,"Golden Valley County, ND",49342.0,3.5,898,339.97136363636366
01/1990,"Hettinger County, ND",0.0,4.8,1527,339.97136363636366
01/1990,"McHenry County, ND",3672.0,9.0,2803,339.97136363636366
01/1990,"McKenzie County, ND",921298.0,2.6,2838,339.97136363636366
01/1990,"McLean County, ND",0.0,7.0,4510,339.97136363636366
01/1990,"Mercer County, ND",0.0,9.2,4678,339.97136363636366
01/1990,"Mountrail County, ND",169401.0,6.4,2984,339.97136363636366
01/1990,"Renville County, ND",150123.0,3.4,1365,339.97136363636366
01/1990,"Slope County, ND",1830.0,2.9,561,339.97136363636366
01/1990,"Stark County, ND",71964.0,4.9,11857,339.97136363636366
01/1990,"Ward County, ND",32570.0,5.5,25984,339.97136363636366
01/1990,"Williams County, ND",445779.0,4.3,9602,339.97136363636366
01/1991,"Adams County, ND",0.0,3.4,1580,325.4854545454545
01/1991,"Billings County, ND",706779.0,6.3,475,325.4854545454545
01/1991,"Bottineau County, ND",206331.0,5.6,3455,325.4854545454545
01/1991,"Bowman County, ND",112964.0,2.6,1795,325.4854545454545
01/1991,"Burke County, ND",67225.0,4.1,1220,325.4854545454545
01/1991,"Divide County, ND",102021.0,2.3,1158,325.4854545454545
01/1991,"Dunn County, ND",131205.0,2.6,1749,325.4854545454545
01/1991,"Golden Valley County, ND",45724.0,4.7,1000,325.4854545454545
01/1991,"Hettinger County, ND",0.0,4.8,1472,325.4854545454545
01/1991,"McHenry County, ND",4334.0,7.7,2692,325.4854545454545
01/1991,"McKenzie County, ND",892353.0,3.3,2772,325.4854545454545
01/1991,"McLean County, ND",20377.0,7.1,4504,325.4854545454545
01/1991,"Mercer County, ND",0.0,8.6,4757,325.4854545454545
01/1991,"Mountrail County, ND",146952.0,6.6,2958,325.4854545454545
01/1991,"Renville County, ND",143772.0,2.8,1305,325.4854545454545
01/1991,"Slope County, ND",1753.0,3.5,433,325.4854545454545
01/1991,"Stark County, ND",71738.0,5.7,11558,325.4854545454545
01/1991,"Ward County, ND",21746.0,5.1,25459,325.4854545454545
01/1991,"Williams County, ND",423075.0,3.9,9921,325.4854545454545
01/1992,"Adams County, ND",0.0,3.2,1495,416.0754545454545
01/1992,"Billings County, ND",681280.0,8.1,406,416.0754545454545
01/1992,"Bottineau County, ND",191068.0,4.9,3292,416.0754545454545
01/1992,"Bowman County, ND",117742.0,4.7,1731,416.0754545454545
01/1992,"Burke County, ND",66991.0,4.9,1072,416.0754545454545
01/1992,"Divide County, ND",94850.0,2.4,1095,416.0754545454545
01/1992,"Dunn County, ND",158230.0,4.7,1676,416.0754545454545
01/1992,"Golden Valley County, ND",41393.0,4.7,835,416.0754545454545
01/1992,"Hettinger County, ND",0.0,7.4,1340,416.0754545454545
01/1992,"McHenry County, ND",4196.0,10.4,2726,416.0754545454545
01/1992,"McKenzie County, ND",778393.0,5.3,2740,416.0754545454545
01/1992,"McLean County, ND",38404.0,8.4,4392,416.0754545454545
01/1992,"Mercer County, ND",0.0,11.7,4671,416.0754545454545
01/1992,"Mountrail County, ND",95494.0,9.6,2889,416.0754545454545
01/1992,"Renville County, ND",131642.0,4.5,1298,416.0754545454545
01/1992,"Slope County, ND",1255.0,5.1,369,416.0754545454545
01/1992,"Stark County, ND",62910.0,6.8,11652,416.0754545454545
01/1992,"Ward County, ND",18446.0,5.6,25756,416.0754545454545
01/1992,"Williams County, ND",375070.0,6.1,9998,416.0754545454545
01/1993,"Adams County, ND",0.0,2.2,1424,435.22850000000005
01/1993,"Billings County, ND",599883.0,6.1,374,435.22850000000005
01/1993,"Bottineau County, ND",176747.0,5.5,3245,435.22850000000005
01/1993,"Bowman County, ND",109195.0,5.1,1728,435.22850000000005
01/1993,"Burke County, ND",58706.0,3.8,1084,435.22850000000005
01/1993,"Divide County, ND",84477.0,1.9,1115,435.22850000000005
01/1993,"Dunn County, ND",146464.0,4.2,1720,435.22850000000005
01/1993,"Golden Valley County, ND",41325.0,5.5,870,435.22850000000005
01/1993,"Hettinger County, ND",1.0,7.7,1319,435.22850000000005
01/1993,"McHenry County, ND",3670.0,10.2,2718,435.22850000000005
01/1993,"McKenzie County, ND",775079.0,3.9,2613,435.22850000000005
01/1993,"McLean County, ND",24335.0,7.6,4382,435.22850000000005
01/1993,"Mercer County, ND",0.0,10.2,4711,435.22850000000005
01/1993,"Mountrail County, ND",71646.0,10.8,2914,435.22850000000005
01/1993,"Renville County, ND",108085.0,3.3,1286,435.22850000000005
01/1993,"Slope County, ND",2340.0,3.3,359,435.22850000000005
01/1993,"Stark County, ND",59785.0,5.1,11564,435.22850000000005
01/1993,"Ward County, ND",17701.0,6.0,25932,435.22850000000005
01/1993,"Williams County, ND",354616.0,5.5,9847,435.22850000000005
