Date,"Adams County, ND","Barnes County, ND","Benson County, ND","Billings County, ND","Bottineau County, ND","Bowman County, ND","Burke County, ND","Burleigh County, ND","Cass County, ND","Cavalier County, ND","Dickey County, ND","Divide County, ND","Dunn County, ND","Eddy County, ND","Emmons County, ND","Foster County, ND","Golden Valley County, ND","Grand Forks County, ND","Grant County, ND","Griggs County, ND","Hettinger County, ND","Kidder County, ND","LaMoure County, ND","Logan County, ND","McHenry County, ND","McIntosh County, ND","McKenzie County, ND","McLean County, ND","Mercer County, ND","Morton County, ND","Mountrail County, ND","Nelson County, ND","Oliver County, ND","Pembina County, ND","Pierce County, ND","Ramsey County, ND","Ransom County, ND","Renville County, ND","Richland County, ND","Rolette County, ND","Sargent County, ND","Sheridan County, ND","Sioux County, ND","Slope County, ND","Stark County, ND","Steele County, ND","Stutsman County, ND","Towner County, ND","Traill County, ND","Walsh County, ND","Ward County, ND","Wells County, ND","Williams County, ND"
01/1952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7166.0
01/1953,0.0,0.0,0.0,0.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2683.0,0.0,0.0,0.0,48367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405895.0
01/1954,0.0,0.0,0.0,9001.0,1635.0,0.0,1255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20670.0,0.0,0.0,0.0,84835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335948.0
01/1955,0.0,0.0,0.0,21178.0,12933.0,0.0,7099.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64412.0,0.0,0.0,0.0,220109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,669576.0
01/1956,0.0,0.0,0.0,18302.0,32257.0,0.0,12525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145492.0,0.0,0.0,0.0,261804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,862845.0
01/1957,0.0,0.0,0.0,12003.0,34482.0,0.0,12874.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273744.0,0.0,0.0,0.0,217912.0,0.0,0.0,0.0,0.0,0.0,0.0,852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694646.0
01/1958,0.0,0.0,0.0,29500.0,48213.0,1261.0,82140.0,0.0,0.0,0.0,0.0,4324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377586.0,0.0,0.0,0.0,171365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,583795.0
01/1959,0.0,0.0,0.0,31995.0,152108.0,1029.0,161235.0,0.0,0.0,0.0,0.0,18470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467817.0,0.0,0.0,0.0,138604.0,0.0,0.0,0.0,0.0,0.0,0.0,3593.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442930.0
01/1960,0.0,0.0,0.0,41192.0,149511.0,725.0,322040.0,0.0,0.0,0.0,0.0,31443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530055.0,0.0,0.0,0.0,146503.0,0.0,0.0,0.0,0.0,0.0,0.0,20237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545801.0
01/1961,0.0,0.0,0.0,37115.0,281197.0,17337.0,354876.0,0.0,0.0,0.0,0.0,41218.0,6832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1090.0,0.0,505877.0,0.0,0.0,0.0,124598.0,0.0,0.0,0.0,0.0,0.0,0.0,90369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525780.0
01/1962,0.0,0.0,0.0,38982.0,274441.0,61155.0,326513.0,0.0,0.0,0.0,0.0,36173.0,4386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734.0,0.0,595711.0,0.0,0.0,0.0,138127.0,0.0,0.0,0.0,0.0,0.0,0.0,140405.0,0.0,0.0,0.0,0.0,0.0,0.0,3039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607306.0
01/1963,0.0,0.0,0.0,53753.0,238886.0,78912.0,297836.0,0.0,0.0,0.0,0.0,25332.0,3904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1480.0,0.0,629091.0,0.0,0.0,0.0,144889.0,0.0,0.0,0.0,0.0,0.0,0.0,140425.0,0.0,0.0,0.0,0.0,0.0,0.0,2401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664453.0
01/1964,0.0,0.0,0.0,57722.0,224070.0,84332.0,295487.0,0.0,0.0,0.0,0.0,27360.0,2239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4295.0,0.0,665707.0,0.0,0.0,0.0,134616.0,0.0,0.0,0.0,0.0,0.0,0.0,151320.0,0.0,0.0,0.0,0.0,0.0,0.0,3738.0,0.0,0.0,0.0,0.0,0.0,3060.0,0.0,693869.0
01/1965,0.0,0.0,0.0,98192.0,209191.0,54992.0,287228.0,0.0,0.0,0.0,0.0,25619.0,2082.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4610.0,0.0,686300.0,0.0,0.0,0.0,116968.0,0.0,0.0,0.0,0.0,0.0,0.0,213009.0,0.0,0.0,0.0,0.0,0.0,0.0,7707.0,0.0,0.0,0.0,0.0,0.0,792.0,0.0,634774.0
01/1966,0.0,0.0,0.0,148027.0,218947.0,59004.0,265318.0,0.0,0.0,0.0,0.0,27430.0,704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3429.0,0.0,684319.0,0.0,0.0,0.0,98837.0,0.0,0.0,0.0,0.0,0.0,0.0,190881.0,0.0,0.0,0.0,0.0,0.0,0.0,7128.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,634334.0
01/1967,0.0,0.0,0.0,202651.0,216622.0,65289.0,226216.0,0.0,0.0,0.0,0.0,28986.0,3212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3766.0,0.0,584000.0,0.0,0.0,0.0,89676.0,0.0,0.0,0.0,0.0,0.0,0.0,180717.0,0.0,0.0,0.0,0.0,0.0,10253.0,29496.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,587290.0
01/1968,0.0,0.0,0.0,206737.0,173352.0,55266.0,216225.0,0.0,0.0,0.0,0.0,21382.0,791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2560.0,0.0,487954.0,0.0,0.0,0.0,85808.0,0.0,0.0,0.0,0.0,0.0,0.0,170747.0,0.0,0.0,0.0,0.0,0.0,8363.0,137468.0,0.0,0.0,0.0,0.0,0.0,7086.0,0.0,540278.0
01/1969,0.0,0.0,0.0,139692.0,201230.0,44512.0,173616.0,0.0,0.0,0.0,0.0,18799.0,1546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1623.0,0.0,400039.0,0.0,0.0,0.0,77396.0,0.0,0.0,0.0,0.0,0.0,0.0,157994.0,0.0,0.0,0.0,0.0,0.0,6513.0,100356.0,0.0,0.0,0.0,0.0,0.0,31260.0,0.0,516124.0
01/1970,0.0,0.0,0.0,161413.0,234115.0,47130.0,161361.0,0.0,0.0,0.0,0.0,26264.0,707.0,0.0,0.0,0.0,4247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2315.0,0.0,344742.0,0.0,0.0,0.0,62153.0,0.0,0.0,0.0,0.0,0.0,0.0,141583.0,0.0,0.0,0.0,0.0,0.0,4749.0,140768.0,0.0,0.0,0.0,0.0,0.0,29243.0,0.0,514400.0
01/1971,0.0,0.0,0.0,134887.0,229145.0,76166.0,142360.0,0.0,0.0,0.0,0.0,23306.0,2454.0,0.0,0.0,0.0,5308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337341.0,0.0,0.0,0.0,47243.0,0.0,0.0,0.0,0.0,0.0,0.0,146219.0,0.0,0.0,0.0,0.0,0.0,8710.0,167886.0,0.0,0.0,0.0,0.0,0.0,51507.0,0.0,444906.0
01/1972,0.0,0.0,0.0,136831.0,243278.0,82052.0,147697.0,0.0,0.0,0.0,0.0,19116.0,740.0,0.0,0.0,0.0,9192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,807.0,0.0,331157.0,0.0,0.0,0.0,44912.0,0.0,0.0,0.0,0.0,0.0,0.0,141247.0,0.0,0.0,0.0,0.0,0.0,10366.0,113878.0,0.0,0.0,0.0,0.0,0.0,52191.0,0.0,416278.0
01/1973,0.0,0.0,0.0,174522.0,241880.0,113073.0,131342.0,0.0,0.0,0.0,0.0,16116.0,7.0,0.0,0.0,0.0,7345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326374.0,0.0,0.0,0.0,31362.0,0.0,0.0,0.0,0.0,0.0,0.0,150943.0,0.0,0.0,0.0,0.0,0.0,7060.0,81711.0,0.0,0.0,0.0,0.0,0.0,30650.0,0.0,368673.0
01/1974,0.0,0.0,0.0,189104.0,222516.0,118820.0,101435.0,0.0,0.0,0.0,0.0,12759.0,0.0,0.0,0.0,0.0,4924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346135.0,0.0,0.0,0.0,28752.0,0.0,0.0,0.0,0.0,0.0,0.0,135723.0,0.0,0.0,0.0,0.0,0.0,8223.0,59355.0,0.0,0.0,0.0,0.0,0.0,22279.0,0.0,383478.0
01/1975,0.0,0.0,0.0,172227.0,205880.0,121474.0,89336.0,0.0,0.0,0.0,0.0,14828.0,0.0,0.0,0.0,0.0,3985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1637.0,0.0,354434.0,0.0,0.0,0.0,27288.0,0.0,0.0,0.0,0.0,0.0,0.0,116771.0,0.0,0.0,0.0,0.0,0.0,6556.0,148996.0,0.0,0.0,0.0,0.0,0.0,15681.0,0.0,351659.0
01/1976,0.0,0.0,0.0,184036.0,200350.0,125364.0,80128.0,0.0,0.0,0.0,0.0,20285.0,9555.0,0.0,0.0,0.0,3020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,0.0,379073.0,0.0,0.0,0.0,24200.0,0.0,0.0,0.0,0.0,0.0,0.0,167480.0,0.0,0.0,0.0,0.0,0.0,6917.0,162192.0,0.0,0.0,0.0,0.0,0.0,13070.0,0.0,393804.0
01/1977,0.0,0.0,0.0,151902.0,196778.0,156628.0,74886.0,0.0,0.0,0.0,0.0,20032.0,9812.0,0.0,0.0,0.0,2811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1142.0,0.0,387476.0,0.0,0.0,0.0,18101.0,0.0,0.0,0.0,0.0,0.0,0.0,160156.0,0.0,0.0,0.0,0.0,0.0,6499.0,203030.0,0.0,0.0,0.0,0.0,0.0,11378.0,0.0,423782.0
01/1978,0.0,0.0,0.0,220498.0,200324.0,142954.0,66337.0,0.0,0.0,0.0,0.0,16552.0,125082.0,0.0,0.0,0.0,3361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495307.0,0.0,0.0,0.0,14549.0,0.0,0.0,0.0,0.0,0.0,0.0,138012.0,0.0,0.0,0.0,0.0,0.0,6940.0,158158.0,0.0,0.0,0.0,0.0,0.0,8664.0,0.0,374546.0
01/1979,0.0,0.0,0.0,398529.0,209655.0,137375.0,51963.0,0.0,0.0,0.0,0.0,14162.0,218313.0,0.0,0.0,0.0,9505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639.0,0.0,544880.0,0.0,0.0,0.0,12190.0,0.0,0.0,0.0,0.0,0.0,0.0,119156.0,0.0,0.0,0.0,0.0,0.0,5230.0,131705.0,0.0,0.0,0.0,0.0,0.0,8261.0,0.0,356840.0
01/1980,0.0,0.0,0.0,922886.0,240625.0,133934.0,60084.0,0.0,0.0,0.0,0.0,22920.0,231218.0,0.0,0.0,0.0,28741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,0.0,638886.0,0.0,0.0,0.0,50232.0,0.0,0.0,0.0,0.0,0.0,0.0,114945.0,0.0,0.0,0.0,0.0,0.0,3333.0,142470.0,0.0,0.0,0.0,0.0,0.0,5956.0,0.0,386714.0
01/1981,0.0,0.0,0.0,1619657.0,211092.0,124576.0,62328.0,0.0,0.0,0.0,0.0,24982.0,193298.0,0.0,0.0,0.0,48699.0,0.0,0.0,0.0,2715.0,0.0,0.0,0.0,2217.0,0.0,776422.0,0.0,436.0,0.0,55702.0,0.0,0.0,0.0,0.0,0.0,0.0,127013.0,0.0,0.0,0.0,0.0,0.0,3123.0,115215.0,0.0,0.0,0.0,0.0,0.0,14160.0,0.0,397330.0
01/1982,0.0,0.0,0.0,1508461.0,207122.0,116214.0,62608.0,0.0,0.0,0.0,0.0,37239.0,252420.0,0.0,0.0,0.0,50214.0,0.0,0.0,0.0,1606.0,0.0,0.0,0.0,1143.0,0.0,675806.0,0.0,474.0,0.0,26904.0,0.0,0.0,0.0,0.0,0.0,0.0,116048.0,0.0,0.0,0.0,0.0,0.0,2726.0,112140.0,0.0,0.0,0.0,0.0,0.0,8430.0,0.0,361213.0
01/1983,0.0,0.0,0.0,1564360.0,220637.0,117553.0,151985.0,0.0,0.0,0.0,0.0,47674.0,304530.0,0.0,0.0,0.0,50757.0,0.0,0.0,0.0,2806.0,0.0,0.0,0.0,1474.0,0.0,1050679.0,0.0,0.0,0.0,39014.0,0.0,0.0,0.0,0.0,0.0,0.0,122111.0,0.0,0.0,0.0,0.0,0.0,6879.0,169527.0,0.0,0.0,0.0,0.0,0.0,7641.0,0.0,427848.0
01/1984,0.0,0.0,0.0,1366790.0,204419.0,153569.0,108253.0,0.0,0.0,0.0,0.0,83937.0,306134.0,0.0,0.0,0.0,44811.0,0.0,0.0,0.0,2768.0,0.0,0.0,0.0,2224.0,0.0,1224623.0,0.0,0.0,0.0,50984.0,0.0,0.0,0.0,0.0,0.0,0.0,120010.0,0.0,0.0,0.0,0.0,0.0,7683.0,161895.0,0.0,0.0,0.0,0.0,0.0,7267.0,0.0,432703.0
01/1985,0.0,0.0,0.0,1181340.0,197822.0,139074.0,117656.0,0.0,0.0,0.0,0.0,100477.0,309778.0,0.0,0.0,0.0,43757.0,0.0,0.0,0.0,1708.0,0.0,0.0,0.0,2729.0,0.0,1397621.0,0.0,0.0,0.0,44036.0,0.0,0.0,0.0,0.0,0.0,0.0,139267.0,0.0,0.0,0.0,0.0,0.0,8341.0,133298.0,0.0,0.0,0.0,0.0,0.0,6217.0,0.0,492042.0
01/1986,0.0,0.0,0.0,1034092.0,196315.0,132530.0,112137.0,0.0,0.0,0.0,0.0,87557.0,293706.0,0.0,0.0,0.0,96292.0,0.0,0.0,0.0,1526.0,0.0,0.0,0.0,3845.0,0.0,1291445.0,0.0,0.0,0.0,29350.0,0.0,0.0,0.0,0.0,0.0,0.0,141798.0,0.0,0.0,0.0,0.0,0.0,21807.0,122117.0,0.0,0.0,0.0,0.0,0.0,4830.0,0.0,519945.0
01/1987,0.0,0.0,0.0,793859.0,178426.0,111806.0,86578.0,0.0,0.0,0.0,0.0,83414.0,242625.0,0.0,0.0,0.0,77850.0,0.0,0.0,0.0,1012.0,0.0,0.0,0.0,2421.0,0.0,1228322.0,0.0,0.0,0.0,32276.0,0.0,0.0,0.0,0.0,0.0,0.0,139028.0,0.0,0.0,0.0,0.0,0.0,6282.0,118114.0,0.0,0.0,0.0,0.0,0.0,2562.0,0.0,512228.0
01/1988,0.0,0.0,0.0,738298.0,185925.0,105201.0,80505.0,0.0,0.0,0.0,0.0,63799.0,178721.0,0.0,0.0,0.0,64713.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2911.0,0.0,1074727.0,0.0,0.0,0.0,58094.0,0.0,0.0,0.0,0.0,0.0,0.0,116863.0,0.0,0.0,0.0,0.0,0.0,5621.0,109597.0,0.0,0.0,0.0,0.0,0.0,13769.0,0.0,508462.0
01/1989,0.0,0.0,0.0,663096.0,210174.0,112045.0,74144.0,0.0,0.0,0.0,0.0,109452.0,143151.0,0.0,0.0,0.0,51621.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4061.0,0.0,938274.0,0.0,0.0,0.0,95740.0,0.0,0.0,0.0,0.0,0.0,0.0,133554.0,0.0,0.0,0.0,0.0,0.0,1985.0,85488.0,0.0,0.0,0.0,0.0,0.0,41452.0,0.0,477516.0
01/1990,0.0,0.0,0.0,625575.0,208526.0,105930.0,74468.0,0.0,0.0,0.0,0.0,113829.0,123539.0,0.0,0.0,0.0,49342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3672.0,0.0,921298.0,0.0,0.0,0.0,169401.0,0.0,0.0,0.0,0.0,0.0,0.0,150123.0,0.0,0.0,0.0,0.0,0.0,1830.0,71964.0,0.0,0.0,0.0,0.0,0.0,32570.0,0.0,445779.0
01/1991,0.0,0.0,0.0,706779.0,206331.0,112964.0,67225.0,0.0,0.0,0.0,0.0,102021.0,131205.0,0.0,0.0,0.0,45724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4334.0,0.0,892353.0,20377.0,0.0,0.0,146952.0,0.0,0.0,0.0,0.0,0.0,0.0,143772.0,0.0,0.0,0.0,0.0,0.0,1753.0,71738.0,0.0,0.0,0.0,0.0,0.0,21746.0,0.0,423075.0
01/1992,0.0,0.0,0.0,681280.0,191068.0,117742.0,66991.0,0.0,0.0,0.0,0.0,94850.0,158230.0,0.0,0.0,0.0,41393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4196.0,0.0,778393.0,38404.0,0.0,0.0,95494.0,0.0,0.0,0.0,0.0,0.0,0.0,131642.0,0.0,0.0,0.0,0.0,0.0,1255.0,62910.0,0.0,0.0,0.0,0.0,0.0,18446.0,0.0,375070.0
01/1993,0.0,0.0,0.0,599883.0,176747.0,109195.0,58706.0,0.0,0.0,0.0,0.0,84477.0,146464.0,0.0,0.0,0.0,41325.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3670.0,0.0,775079.0,24335.0,0.0,0.0,71646.0,0.0,0.0,0.0,0.0,0.0,0.0,108085.0,0.0,0.0,0.0,0.0,0.0,2340.0,59785.0,0.0,0.0,0.0,0.0,0.0,17701.0,0.0,354616.0
01/1994,0.0,0.0,0.0,568370.0,157689.0,110927.0,49171.0,0.0,0.0,0.0,0.0,78395.0,105463.0,0.0,0.0,0.0,39497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2657.0,0.0,684494.0,18883.0,0.0,0.0,57575.0,0.0,0.0,0.0,0.0,0.0,0.0,83437.0,0.0,0.0,0.0,0.0,0.0,1890.0,50446.0,0.0,0.0,0.0,0.0,0.0,15812.0,0.0,325673.0
01/1995,20.0,0.0,0.0,522103.0,187095.0,115405.0,61549.0,0.0,0.0,0.0,0.0,67853.0,98971.0,0.0,0.0,0.0,40917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3521.0,0.0,634796.0,13105.0,0.0,0.0,44642.0,0.0,0.0,0.0,0.0,0.0,0.0,91074.0,0.0,0.0,0.0,0.0,0.0,3217.0,198351.0,0.0,0.0,0.0,0.0,0.0,14499.0,0.0,309170.0
01/1996,0.0,0.0,0.0,521180.0,196080.0,284970.0,50008.0,0.0,0.0,0.0,0.0,61030.0,90610.0,0.0,0.0,0.0,39072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3229.0,0.0,557296.0,11401.0,0.0,0.0,39927.0,0.0,0.0,0.0,0.0,0.0,0.0,87986.0,0.0,0.0,0.0,0.0,0.0,2866.0,285370.0,0.0,0.0,0.0,0.0,0.0,15505.0,0.0,296102.0
01/1997,0.0,0.0,0.0,480460.0,209127.0,552349.0,40972.0,0.0,0.0,0.0,0.0,49216.0,95804.0,0.0,0.0,0.0,35574.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,2958.0,0.0,501086.0,7297.0,0.0,0.0,40387.0,0.0,0.0,0.0,0.0,0.0,0.0,79872.0,0.0,0.0,0.0,0.0,0.0,811.0,358477.0,0.0,0.0,0.0,0.0,0.0,8349.0,0.0,276961.0
01/1998,0.0,0.0,0.0,497707.0,201003.0,615903.0,58212.0,0.0,0.0,0.0,0.0,59997.0,92783.0,0.0,0.0,0.0,42759.0,0.0,0.0,0.0,1291.0,0.0,0.0,0.0,3352.0,0.0,471891.0,10082.0,0.0,0.0,37483.0,0.0,0.0,0.0,0.0,0.0,0.0,80016.0,0.0,0.0,0.0,0.0,0.0,64937.0,580739.0,0.0,0.0,0.0,0.0,0.0,12253.0,0.0,282999.0
01/1999,0.0,0.0,0.0,441567.0,164388.0,449204.0,71440.0,0.0,0.0,0.0,0.0,50038.0,95148.0,0.0,0.0,0.0,87131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1875.0,0.0,417894.0,7127.0,0.0,0.0,46836.0,0.0,0.0,0.0,0.0,0.0,0.0,61969.0,0.0,0.0,0.0,0.0,0.0,30589.0,613925.0,0.0,0.0,0.0,0.0,0.0,9357.0,0.0,249663.0
01/2000,0.0,0.0,0.0,441040.0,170508.0,353655.0,68038.0,0.0,0.0,0.0,0.0,58434.0,82361.0,0.0,0.0,0.0,83406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2899.0,0.0,443029.0,6388.0,0.0,0.0,35847.0,0.0,0.0,0.0,0.0,0.0,0.0,67151.0,0.0,0.0,0.0,0.0,0.0,19709.0,604546.0,0.0,0.0,0.0,0.0,0.0,8854.0,0.0,296254.0
01/2001,0.0,0.0,0.0,462063.0,193145.0,336830.0,57237.0,0.0,0.0,0.0,0.0,70021.0,94562.0,0.0,0.0,0.0,137013.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,2415.0,0.0,439473.0,5912.0,0.0,0.0,33562.0,0.0,0.0,0.0,0.0,0.0,0.0,62103.0,0.0,0.0,0.0,0.0,0.0,15312.0,492788.0,0.0,0.0,0.0,0.0,0.0,7730.0,0.0,330865.0
01/2002,0.0,0.0,0.0,442147.0,223786.0,373565.0,58567.0,0.0,0.0,0.0,0.0,59401.0,85350.0,0.0,0.0,0.0,69083.0,0.0,0.0,0.0,979.0,0.0,0.0,0.0,1819.0,0.0,431373.0,4755.0,0.0,0.0,28487.0,0.0,0.0,0.0,0.0,0.0,0.0,56883.0,0.0,0.0,0.0,0.0,0.0,13391.0,420608.0,0.0,0.0,0.0,0.0,0.0,5815.0,0.0,323953.0
01/2003,0.0,0.0,0.0,388214.0,233640.0,419347.0,48478.0,0.0,0.0,0.0,0.0,54799.0,81919.0,0.0,0.0,0.0,51479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2252.0,0.0,407544.0,5946.0,0.0,0.0,19390.0,0.0,0.0,0.0,0.0,0.0,0.0,58765.0,0.0,0.0,0.0,0.0,0.0,28110.0,415015.0,0.0,0.0,0.0,0.0,0.0,6125.0,0.0,307835.0
01/2004,0.0,0.0,0.0,383702.0,213112.0,501947.0,44228.0,0.0,0.0,0.0,0.0,44583.0,68247.0,0.0,0.0,0.0,49928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2148.0,0.0,395417.0,4630.0,0.0,0.0,17855.0,0.0,0.0,0.0,0.0,0.0,0.0,50409.0,0.0,0.0,0.0,0.0,0.0,14252.0,324914.0,0.0,0.0,0.0,0.0,0.0,5107.0,0.0,306478.0
01/2005,0.0,0.0,0.0,389901.0,203227.0,865737.0,41446.0,0.0,0.0,0.0,0.0,56776.0,63635.0,0.0,0.0,0.0,53233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1655.0,0.0,456635.0,4127.0,0.0,0.0,19260.0,0.0,0.0,0.0,0.0,0.0,0.0,54064.0,0.0,0.0,0.0,0.0,0.0,41745.0,231142.0,0.0,0.0,0.0,0.0,0.0,5347.0,0.0,284952.0
