Date,"Albany County, WY","Big Horn County, WY","Campbell County, WY","Carbon County, WY","Converse County, WY","Crook County, WY","Fremont County, WY","Goshen County, WY","Hot Springs County, WY","Johnson County, WY","Laramie County, WY","Lincoln County, WY","Natrona County, WY","Niobrara County, WY","Park County, WY","Platte County, WY","Sheridan County, WY","Sublette County, WY","Sweetwater County, WY","Teton County, WY","Uinta County, WY","Washakie County, WY","Weston County, WY"
1978-01-01,15284.0,592214.0,2736960.0,81937.0,703327.0,251328.0,585346.0,148.0,971398.0,312982.0,36378.0,20083.0,781604.0,61770.0,2449367.0,0.0,14346.0,218379.0,1110339.0,0.0,98920.0,179062.0,187689.0
1978-02-01,13252.0,536490.0,2545778.0,67972.0,706696.0,225788.0,534568.0,149.0,891336.0,298251.0,28770.0,18555.0,743979.0,52731.0,2202402.0,0.0,14190.0,203225.0,957708.0,0.0,93025.0,168909.0,147180.0
1978-03-01,15965.0,618168.0,3039386.0,74951.0,738703.0,248982.0,586229.0,230.0,973417.0,322463.0,26978.0,20009.0,830880.0,59196.0,2450120.0,0.0,17556.0,237647.0,1096580.0,0.0,109091.0,191108.0,174671.0
1978-04-01,14826.0,566927.0,2970991.0,77276.0,722868.0,238456.0,570397.0,397.0,952087.0,325429.0,26839.0,15895.0,799229.0,59842.0,2514771.0,0.0,17526.0,233571.0,1058630.0,0.0,108773.0,182022.0,178165.0
1978-05-01,14805.0,586773.0,2807554.0,70392.0,642479.0,228373.0,574896.0,596.0,982996.0,293538.0,28713.0,21946.0,773837.0,59907.0,2505911.0,0.0,12054.0,248420.0,1103372.0,0.0,124013.0,195778.0,175916.0
1978-06-01,13843.0,573317.0,2727369.0,73878.0,749429.0,229977.0,562133.0,569.0,949939.0,304202.0,25875.0,18706.0,785646.0,60370.0,2476257.0,0.0,16957.0,211439.0,1139505.0,0.0,118903.0,192704.0,196682.0
1978-07-01,14004.0,587189.0,2634865.0,75608.0,754390.0,238100.0,564072.0,460.0,993878.0,323480.0,26342.0,19959.0,810260.0,64759.0,2463021.0,0.0,17495.0,218593.0,1179180.0,0.0,121179.0,181531.0,201730.0
1978-08-01,14175.0,575776.0,2668437.0,77259.0,783308.0,251171.0,597774.0,772.0,818618.0,339931.0,26556.0,22044.0,843035.0,64351.0,2529791.0,0.0,18298.0,203536.0,1177858.0,0.0,175927.0,170382.0,281779.0
1978-09-01,13975.0,554680.0,2694470.0,74186.0,700533.0,230289.0,586081.0,1011.0,947382.0,341383.0,27625.0,19892.0,815881.0,68170.0,2444681.0,0.0,18131.0,187182.0,1162595.0,0.0,175770.0,176739.0,183996.0
1978-10-01,14459.0,567429.0,2588294.0,85038.0,677918.0,241900.0,605178.0,945.0,965630.0,339873.0,27170.0,20295.0,856241.0,77771.0,2538461.0,0.0,16301.0,196967.0,1204230.0,0.0,201736.0,176277.0,269054.0
1978-11-01,13466.0,534931.0,2413014.0,83313.0,633683.0,218089.0,550045.0,862.0,926624.0,325080.0,25631.0,17003.0,842075.0,83569.0,2428853.0,0.0,15643.0,176390.0,1094188.0,0.0,230549.0,166463.0,178885.0
