Date,"Adams County, ND","Barnes County, ND","Benson County, ND","Billings County, ND","Bottineau County, ND","Bowman County, ND","Burke County, ND","Burleigh County, ND","Cass County, ND","Cavalier County, ND","Dickey County, ND","Divide County, ND","Dunn County, ND","Eddy County, ND","Emmons County, ND","Foster County, ND","Golden Valley County, ND","Grand Forks County, ND","Grant County, ND","Griggs County, ND","Hettinger County, ND","Kidder County, ND","LaMoure County, ND","Logan County, ND","McHenry County, ND","McIntosh County, ND","McKenzie County, ND","McLean County, ND","Mercer County, ND","Morton County, ND","Mountrail County, ND","Nelson County, ND","Oliver County, ND","Pembina County, ND","Pierce County, ND","Ramsey County, ND","Ransom County, ND","Renville County, ND","Richland County, ND","Rolette County, ND","Sargent County, ND","Sheridan County, ND","Sioux County, ND","Slope County, ND","Stark County, ND","Steele County, ND","Stutsman County, ND","Towner County, ND","Traill County, ND","Walsh County, ND","Ward County, ND","Wells County, ND","Williams County, ND"
1990-01-01,1734,5923,2719,416,3684,1851,1254,32471,59221,2670,3011,1149,2366,1396,2002,1866,898,32838,2110,1490,1527,1549,2354,1156,2803,1770,2838,4510,4678,11998,2984,1742,1159,4450,2071,6232,2590,1365,8528,4861,2010,749,1740,561,11857,1210,11233,1588,3953,6089,25984,2517,9602
1990-02-01,1723,5935,2708,420,3604,1863,1251,32291,58650,2676,2985,1140,2431,1382,2036,1886,887,32771,2106,1480,1524,1553,2362,1159,2816,1763,2852,4482,4646,11917,2990,1704,1163,4439,2078,6181,2606,1367,8462,4838,2010,762,1761,545,11739,1203,11185,1561,3964,6108,26090,2524,9579
1990-03-01,1736,6195,2779,436,3680,1899,1258,32384,58620,2692,3019,1148,2481,1382,2066,1872,906,32643,2160,1504,1537,1606,2410,1197,2774,1796,2887,4502,4640,11935,3005,1735,1183,4472,2088,6143,2623,1349,8440,4861,2043,783,1771,572,11683,1218,11165,1565,3916,6149,26040,2554,9622
1990-04-01,1743,6000,2947,468,3698,1938,1290,32724,59295,2728,3063,1172,2554,1405,2118,1912,937,32662,2213,1547,1595,1640,2465,1234,2775,1771,2905,4662,4727,12010,3036,1731,1149,4447,2140,6254,2705,1376,8365,4833,2078,811,1764,577,11791,1299,11243,1639,3932,6428,26207,2573,9778
1990-05-01,1781,6063,2936,542,3795,1976,1278,33556,60214,2750,3125,1178,2646,1488,2168,1980,974,32986,2276,1589,1638,1650,2486,1292,2751,1793,2930,4849,4780,12178,3038,1749,1189,4590,2138,6318,2718,1391,8505,4795,2124,794,1807,607,11962,1282,11358,1685,3961,6470,26541,2557,9848
1990-06-01,1880,6390,3002,756,4045,2122,1271,34181,60814,2830,3264,1225,2646,1553,2235,2006,965,33392,2364,1606,1668,1722,2493,1337,2872,1843,2972,4914,5038,12557,3247,1835,1288,4775,2292,6489,2831,1447,9009,4883,2260,840,1905,636,12741,1365,11573,1724,4067,6783,27321,2653,10431
1990-07-01,1921,6307,2971,784,3950,2135,1267,33935,60516,2864,3207,1253,2690,1539,2235,2040,993,33798,2330,1738,1672,1698,2520,1310,2841,1882,3072,4734,5072,12386,3162,1791,1308,4996,2268,6556,2928,1454,8914,4921,2222,819,1864,609,12777,1306,11613,1715,4042,6814,27355,2586,10193
1990-08-01,1904,6233,3032,786,3966,2109,1215,34067,60698,2770,3155,1227,2792,1521,2236,2030,976,33136,2267,1598,1577,1617,2459,1292,2811,1857,3019,4843,5088,12433,3186,1771,1268,5127,2270,6397,2855,1423,8797,5407,2196,788,2027,609,12801,1306,11568,1683,3968,6676,26940,2528,10055
1990-09-01,1765,6057,2959,568,3753,1971,1275,33269,59965,2679,3085,1188,2549,1471,2146,1966,938,33053,2212,1580,1578,1628,2441,1253,2716,1766,2974,4760,4896,12134,3057,1735,1219,4847,2179,6095,2792,1373,8653,4751,2066,792,1812,633,12057,1263,11128,1620,4164,6632,25938,2488,9726
1990-10-01,1745,6014,2930,588,3623,1950,1238,32759,60959,2687,3041,1164,2596,1462,2172,1919,911,33740,2153,1554,1538,1551,2443,1224,2718,1776,3042,4470,5098,11866,2969,1687,1266,4897,2085,6034,2662,1377,8606,4783,2023,751,1775,592,12107,1238,10993,1646,4340,6313,26055,2490,9807
1990-11-01,1744,5921,2897,458,3524,1907,1202,32774,60339,2615,2970,1147,2408,1378,2090,1886,878,33184,2049,1532,1463,1545,2368,1178,2733,1708,2910,4323,4865,11968,2950,1680,1183,4464,2058,6024,2560,1363,8438,4751,1952,752,1774,562,12089,1224,10910,1599,4020,6045,26009,2464,9715
