Date,County_Name,Oil_Production,Unemployment_Rate,Labor_Force,SP500
01/1990,"Albany County, WY",8136.0,5.8,16669,339.97136363636366
01/1990,"Big Horn County, WY",319053.0,7.2,4875,339.97136363636366
01/1990,"Campbell County, WY",2293176.0,5.3,16214,339.97136363636366
01/1990,"Carbon County, WY",236754.0,6.7,8682,339.97136363636366
01/1990,"Converse County, WY",499718.0,8.8,5729,339.97136363636366
01/1990,"Crook County, WY",434420.0,5.4,2631,339.97136363636366
01/1990,"Fremont County, WY",346616.0,11.1,16046,339.97136363636366
01/1990,"Goshen County, WY",557.0,5.0,5928,339.97136363636366
01/1990,"Hot Springs County, WY",554100.0,5.1,2382,339.97136363636366
01/1990,"Johnson County, WY",226110.0,6.3,3328,339.97136363636366
01/1990,"Laramie County, WY",42320.0,6.7,37748,339.97136363636366
01/1990,"Lincoln County, WY",54713.0,8.4,5711,339.97136363636366
01/1990,"Natrona County, WY",654784.0,7.7,31697,339.97136363636366
01/1990,"Niobrara County, WY",75915.0,5.6,1159,339.97136363636366
01/1990,"Park County, WY",1451729.0,7.2,12169,339.97136363636366
01/1990,"Platte County, WY",0.0,7.5,3827,339.97136363636366
01/1990,"Sheridan County, WY",10707.0,7.2,12010,339.97136363636366
01/1990,"Sublette County, WY",88479.0,3.9,2488,339.97136363636366
01/1990,"Sweetwater County, WY",675494.0,6.7,20164,339.97136363636366
01/1990,"Teton County, WY",0.0,2.5,7287,339.97136363636366
01/1990,"Uinta County, WY",778123.0,8.0,9603,339.97136363636366
01/1990,"Washakie County, WY",146268.0,5.4,4300,339.97136363636366
01/1990,"Weston County, WY",141654.0,6.3,3348,339.97136363636366
01/1991,"Albany County, WY",7750.0,4.2,16636,325.4854545454545
01/1991,"Big Horn County, WY",303674.0,7.8,4734,325.4854545454545
01/1991,"Campbell County, WY",2279456.0,5.7,16308,325.4854545454545
01/1991,"Carbon County, WY",207387.0,8.0,8480,325.4854545454545
01/1991,"Converse County, WY",333912.0,8.0,5567,325.4854545454545
01/1991,"Crook County, WY",440635.0,4.0,2508,325.4854545454545
01/1991,"Fremont County, WY",315946.0,9.3,15699,325.4854545454545
01/1991,"Goshen County, WY",542.0,4.2,5737,325.4854545454545
01/1991,"Hot Springs County, WY",527630.0,5.3,2392,325.4854545454545
01/1991,"Johnson County, WY",236751.0,8.6,3181,325.4854545454545
01/1991,"Laramie County, WY",61686.0,5.6,36525,325.4854545454545
01/1991,"Lincoln County, WY",61423.0,10.3,5855,325.4854545454545
01/1991,"Natrona County, WY",618967.0,7.3,31991,325.4854545454545
01/1991,"Niobrara County, WY",87016.0,6.2,1097,325.4854545454545
01/1991,"Park County, WY",1323662.0,6.3,11781,325.4854545454545
01/1991,"Platte County, WY",0.0,8.1,3685,325.4854545454545
01/1991,"Sheridan County, WY",9232.0,8.3,12039,325.4854545454545
01/1991,"Sublette County, WY",87955.0,4.2,2524,325.4854545454545
01/1991,"Sweetwater County, WY",750581.0,7.6,20705,325.4854545454545
01/1991,"Teton County, WY",0.0,3.0,7482,325.4854545454545
01/1991,"Uinta County, WY",688366.0,8.3,9989,325.4854545454545
01/1991,"Washakie County, WY",179234.0,4.7,4319,325.4854545454545
01/1991,"Weston County, WY",133610.0,7.5,3293,325.4854545454545
01/1992,"Albany County, WY",7701.0,3.6,16289,416.0754545454545
01/1992,"Big Horn County, WY",283771.0,7.9,4646,416.0754545454545
01/1992,"Campbell County, WY",2253182.0,6.5,16649,416.0754545454545
01/1992,"Carbon County, WY",177123.0,8.2,8155,416.0754545454545
01/1992,"Converse County, WY",659303.0,7.6,5809,416.0754545454545
01/1992,"Crook County, WY",389373.0,4.7,2557,416.0754545454545
01/1992,"Fremont County, WY",293373.0,10.1,15955,416.0754545454545
01/1992,"Goshen County, WY",305.0,4.5,5918,416.0754545454545
01/1992,"Hot Springs County, WY",493075.0,5.7,2376,416.0754545454545
01/1992,"Johnson County, WY",215642.0,10.0,3190,416.0754545454545
01/1992,"Laramie County, WY",58836.0,5.4,37102,416.0754545454545
01/1992,"Lincoln County, WY",68380.0,12.5,6016,416.0754545454545
01/1992,"Natrona County, WY",590071.0,8.6,31520,416.0754545454545
01/1992,"Niobrara County, WY",75339.0,7.2,1139,416.0754545454545
01/1992,"Park County, WY",1230083.0,6.6,11991,416.0754545454545
01/1992,"Platte County, WY",0.0,7.8,3738,416.0754545454545
01/1992,"Sheridan County, WY",7399.0,8.4,12083,416.0754545454545
01/1992,"Sublette County, WY",88005.0,5.6,2514,416.0754545454545
01/1992,"Sweetwater County, WY",719006.0,7.9,21210,416.0754545454545
01/1992,"Teton County, WY",0.0,4.9,7825,416.0754545454545
01/1992,"Uinta County, WY",624466.0,9.7,10198,416.0754545454545
01/1992,"Washakie County, WY",182079.0,5.3,4428,416.0754545454545
01/1992,"Weston County, WY",130163.0,8.1,3178,416.0754545454545
01/1993,"Albany County, WY",6247.0,3.5,15122,435.22850000000005
01/1993,"Big Horn County, WY",283654.0,7.3,4781,435.22850000000005
01/1993,"Campbell County, WY",1915909.0,6.5,17094,435.22850000000005
01/1993,"Carbon County, WY",126399.0,7.9,8157,435.22850000000005
01/1993,"Converse County, WY",663288.0,6.5,5974,435.22850000000005
01/1993,"Crook County, WY",328869.0,4.1,2654,435.22850000000005
01/1993,"Fremont County, WY",278401.0,8.5,16079,435.22850000000005
01/1993,"Goshen County, WY",199.0,4.5,6016,435.22850000000005
01/1993,"Hot Springs County, WY",450638.0,6.6,2445,435.22850000000005
01/1993,"Johnson County, WY",194928.0,6.5,3096,435.22850000000005
01/1993,"Laramie County, WY",134094.0,4.8,37605,435.22850000000005
01/1993,"Lincoln County, WY",82650.0,9.6,6084,435.22850000000005
01/1993,"Natrona County, WY",513766.0,9.0,31661,435.22850000000005
01/1993,"Niobrara County, WY",71271.0,4.8,1063,435.22850000000005
01/1993,"Park County, WY",1141563.0,5.7,12131,435.22850000000005
01/1993,"Platte County, WY",0.0,7.1,3901,435.22850000000005
01/1993,"Sheridan County, WY",6738.0,5.9,12680,435.22850000000005
01/1993,"Sublette County, WY",68423.0,3.8,2613,435.22850000000005
01/1993,"Sweetwater County, WY",622793.0,7.4,21090,435.22850000000005
01/1993,"Teton County, WY",0.0,2.7,8405,435.22850000000005
01/1993,"Uinta County, WY",629691.0,8.4,10444,435.22850000000005
01/1993,"Washakie County, WY",196961.0,7.3,4492,435.22850000000005
01/1993,"Weston County, WY",130052.0,5.8,3198,435.22850000000005
01/1994,"Albany County, WY",4119.0,3.2,15979,472.99047619047633
01/1994,"Big Horn County, WY",268733.0,7.9,5028,472.99047619047633
01/1994,"Campbell County, WY",1678776.0,6.0,17714,472.99047619047633
01/1994,"Carbon County, WY",126089.0,7.3,8393,472.99047619047633
01/1994,"Converse County, WY",509549.0,7.5,6118,472.99047619047633
01/1994,"Crook County, WY",301100.0,5.1,2746,472.99047619047633
01/1994,"Fremont County, WY",231501.0,9.6,17003,472.99047619047633
01/1994,"Goshen County, WY",93.0,4.4,6360,472.99047619047633
01/1994,"Hot Springs County, WY",424767.0,6.2,2482,472.99047619047633
01/1994,"Johnson County, WY",199671.0,7.0,3323,472.99047619047633
01/1994,"Laramie County, WY",222901.0,5.4,38619,472.99047619047633
01/1994,"Lincoln County, WY",101157.0,9.4,6183,472.99047619047633
01/1994,"Natrona County, WY",423116.0,8.1,31995,472.99047619047633
01/1994,"Niobrara County, WY",51596.0,3.9,1149,472.99047619047633
01/1994,"Park County, WY",1046157.0,6.0,13191,472.99047619047633
01/1994,"Platte County, WY",0.0,7.5,3944,472.99047619047633
01/1994,"Sheridan County, WY",5589.0,7.5,13061,472.99047619047633
01/1994,"Sublette County, WY",82816.0,4.7,2815,472.99047619047633
01/1994,"Sweetwater County, WY",598143.0,6.7,21345,472.99047619047633
01/1994,"Teton County, WY",0.0,2.7,8900,472.99047619047633
01/1994,"Uinta County, WY",567396.0,9.3,10405,472.99047619047633
01/1994,"Washakie County, WY",181207.0,6.6,4579,472.99047619047633
01/1994,"Weston County, WY",113002.0,7.8,3311,472.99047619047633
01/1995,"Albany County, WY",5454.0,3.1,16532,465.25047619047615
01/1995,"Big Horn County, WY",266091.0,7.9,5088,465.25047619047615
01/1995,"Campbell County, WY",1475705.0,5.7,18361,465.25047619047615
01/1995,"Carbon County, WY",143165.0,6.5,8691,465.25047619047615
01/1995,"Converse County, WY",480076.0,6.7,6301,465.25047619047615
01/1995,"Crook County, WY",283763.0,5.4,2913,465.25047619047615
01/1995,"Fremont County, WY",230595.0,9.3,17486,465.25047619047615
01/1995,"Goshen County, WY",85.0,4.6,6435,465.25047619047615
01/1995,"Hot Springs County, WY",404600.0,6.3,2435,465.25047619047615
01/1995,"Johnson County, WY",178434.0,6.2,3412,465.25047619047615
01/1995,"Laramie County, WY",155009.0,4.8,39359,465.25047619047615
01/1995,"Lincoln County, WY",109988.0,10.0,6215,465.25047619047615
01/1995,"Natrona County, WY",409208.0,6.4,32628,465.25047619047615
01/1995,"Niobrara County, WY",54159.0,3.8,1142,465.25047619047615
01/1995,"Park County, WY",973850.0,6.5,14162,465.25047619047615
01/1995,"Platte County, WY",0.0,6.4,4165,465.25047619047615
01/1995,"Sheridan County, WY",5642.0,6.8,13494,465.25047619047615
01/1995,"Sublette County, WY",98487.0,4.4,2877,465.25047619047615
