Time,"Adair County, OK","Alfalfa County, OK","Atoka County, OK","Beaver County, OK","Beckham County, OK","Blaine County, OK","Bryan County, OK","Caddo County, OK","Canadian County, OK","Carter County, OK","Cherokee County, OK","Choctaw County, OK","Cimarron County, OK","Cleveland County, OK","Coal County, OK","Comanche County, OK","Cotton County, OK","Craig County, OK","Creek County, OK","Custer County, OK","Delaware County, OK","Dewey County, OK","Ellis County, OK","Garfield County, OK","Garvin County, OK","Grady County, OK","Grant County, OK","Greer County, OK","Harmon County, OK","Harper County, OK","Haskell County, OK","Hughes County, OK","Jackson County, OK","Jefferson County, OK","Johnston County, OK","Kay County, OK","Kingfisher County, OK","Kiowa County, OK","Latimer County, OK","Le Flore County, OK","Lincoln County, OK","Logan County, OK","Love County, OK","Major County, OK","Marshall County, OK","Mayes County, OK","McClain County, OK","McCurtain County, OK","McIntosh County, OK","Murray County, OK","Muskogee County, OK","Noble County, OK","Nowata County, OK","Okfuskee County, OK","Oklahoma County, OK","Okmulgee County, OK","Osage County, OK","Ottawa County, OK","Pawnee County, OK","Payne County, OK","Pittsburg County, OK","Pontotoc County, OK","Pottawatomie County, OK","Pushmataha County, OK","Roger Mills County, OK","Rogers County, OK","Seminole County, OK","Sequoyah County, OK","Stephens County, OK","Texas County, OK","Tillman County, OK","Tulsa County, OK","Wagoner County, OK","Washington County, OK","Washita County, OK","Woods County, OK","Woodward County, OK"
01/1990,7723,2688,5029,2905,8387,5029,13804,11789,39151,19404,15104,5565,1577,97624,2538,41999,2541,6267,29371,13984,11304,2267,2153,26454,11408,19470,2528,2351,1361,1933,4284,5610,10565,2837,4090,23308,6426,4696,3994,19241,13078,13378,3662,3577,4415,14344,11292,14039,6493,5463,29695,5300,4451,4398,310226,16219,18980,13659,7599,30872,17341,16007,26922,4256,1813,28311,10553,15481,18249,8140,4195,268341,24322,22885,5353,4221,9357
01/1991,8898,2812,4974,3135,8608,5090,13466,11578,38808,19351,14915,5793,1759,92976,2660,41393,2544,6358,29059,13518,12364,2309,2051,26511,12245,18706,2596,2320,1396,2024,4722,5468,10430,2726,4000,22927,6402,4683,4258,19209,13579,12954,3661,3574,4314,14693,11105,14419,6713,5574,28842,5353,4348,4193,305405,15516,18426,13211,6737,30489,18287,15976,26386,4433,1941,28596,10528,15502,19157,8166,4404,264435,23949,22216,5199,4322,8847
01/1992,9325,2636,4845,2914,8678,4741,13028,12040,38393,19587,15785,5961,1779,92518,2477,41511,2218,6470,29296,13583,12425,2464,1921,25891,11134,18671,2478,2199,1375,2031,4513,5438,9943,3004,4123,23529,6430,4833,4283,17451,13836,13132,3744,3687,4653,14528,10869,14645,6686,5875,29115,5114,4370,4451,298080,14518,18579,12994,6753,31605,17954,15870,25642,4458,1916,29161,10557,15700,18815,8334,4458,266837,24237,22567,5175,4405,8800
01/1993,9738,2533,4846,2747,8782,4672,13120,11685,39354,19748,15644,5883,1640,94763,2512,42498,2211,6337,29488,12978,12827,2279,1813,26289,10872,18829,2351,2273,1292,1918,4383,5520,10120,3233,4181,23907,6291,4751,4019,18052,14631,13238,3802,3529,4842,14205,11131,14299,6859,5604,28766,5157,3906,4415,302168,14739,18701,12686,6803,32253,17843,15677,25984,4676,1890,29554,10511,15950,18559,8220,4090,268967,24684,21065,5017,4188,8717
01/1994,10033,2491,4742,2970,9147,4986,13565,11692,40111,20415,15912,5876,1660,96732,2519,42089,2292,6361,30043,13155,13630,2285,1847,26961,11348,19595,2359,2376,1259,1948,4267,5705,10599,3164,4478,23708,6689,4735,4306,18584,14581,13464,3904,3739,4913,14347,11452,15004,7009,5524,29513,5578,4010,4445,306451,15561,19107,13134,6851,33148,18176,16018,26117,4914,1916,30834,10885,16300,18444,8494,4160,274217,25521,20812,5198,4292,9023
01/1995,10073,2637,4937,3048,9379,4883,13665,11848,40849,20387,16077,5543,1742,99010,2693,40030,2425,6550,30169,13286,14486,2290,1927,27025,11025,20168,2532,1932,1365,1936,4337,5643,10929,3338,4709,23051,7010,4712,4198,19857,14363,13800,3883,3903,5204,15063,11739,15242,7090,5539,28856,5484,3795,4196,307483,15464,18792,13400,6561,33679,17743,16262,26317,5042,1972,30693,10704,16608,18154,9165,4134,271773,25568,20005,5224,4090,9148
01/1996,9804,2572,4883,2874,9288,4962,13940,11688,42008,20250,16356,5736,1694,100977,2698,39869,2358,6436,30288,12885,15214,2201,1832,26737,11220,20501,2504,2453,1312,1862,4353,5357,11026,3244,4759,22862,6623,4683,4456,19418,14700,13556,3861,3865,4951,15280,12206,14957,7111,5540,28488,5529,3786,4521,313536,14736,18643,13357,6523,34322,17200,16019,27328,5068,1966,31230,10447,16384,17562,10733,3913,270470,25708,19414,5156,4008,9043
01/1997,9194,2428,4742,2870,9424,4776,14481,11990,43598,20348,16906,5510,1604,105328,2801,40960,2369,6747,31659,12215,15292,2053,1628,27738,11357,20396,2370,2535,1306,1704,4825,5278,11928,3368,4549,22555,6768,4637,4658,19307,14320,14017,3800,4052,5052,14404,12406,14681,7373,5497,29710,5782,3997,4769,318276,14660,19437,13315,6616,35122,17794,16712,27701,5126,1956,33151,10411,17078,17848,13029,3929,283309,27048,20632,4931,4224,8983
01/1998,9311,2555,4874,2928,9422,4770,16286,12661,44252,19972,17955,5550,1820,107306,2683,40916,2322,6883,32290,12364,16869,2157,1717,27906,11253,20341,2403,2535,1391,1751,4998,5555,12771,3173,4517,22233,7160,4682,4437,19326,14007,13863,3714,4218,5062,14662,12636,14938,7651,5528,31094,5807,3626,4139,319239,14437,19826,12782,6395,35121,17119,16731,27842,5220,2039,34611,10308,17537,18229,13529,3787,290477,27798,18560,5119,4311,9172
01/1999,9033,2457,4919,2761,9654,4598,16462,13019,45967,20463,17775,5452,1722,111499,2496,40898,2172,6651,33251,11727,17527,2016,1669,28173,11141,19708,2208,2490,1332,1739,5006,5629,12632,3198,4842,22159,6773,4632,5032,20325,14394,14344,3761,3929,5297,15820,13185,15973,8096,5502,31262,5662,3803,3775,328378,14452,20094,13422,6533,36743,18088,16881,28782,4998,1983,36377,10218,17320,18119,13902,3605,298476,28643,19474,4803,4280,9080
01/2000,9178,2588,5233,2942,8618,4922,16436,12155,46164,20532,18430,5956,1590,110483,2511,43487,2913,6900,31611,13182,15907,2295,2099,28087,12280,21808,2516,2295,1385,1895,4978,5531,12054,2816,4380,22289,7300,4558,4308,20668,14798,16838,4146,3932,5685,17580,13738,14696,7904,5955,28965,5568,4872,4372,323911,16989,20627,15151,7858,36502,18008,16668,29926,4651,1789,35692,10463,17220,19038,10147,3758,293211,29100,23154,5495,4272,9089
01/2001,8919,2498,5200,2909,8711,4610,17113,12058,46870,20924,18925,6029,1531,112171,2501,42074,2802,6727,31594,13230,15930,2286,2063,28072,12433,21898,2418,2248,1415,1886,5329,5244,11912,2627,4531,22541,7171,4579,4541,20834,14792,17118,4238,3733,5504,17808,13734,15762,7871,5819,28436,5739,4759,4773,325150,16888,20661,15580,7876,35148,17512,16481,29961,4705,1772,36352,10512,17436,19457,10478,3650,292559,29484,23488,5794,4352,9494
01/2002,9296,2473,5385,2979,8901,4696,17497,12305,47526,21545,19521,6321,1512,112564,2565,42550,2699,6701,32454,13016,16586,2377,2095,27329,12913,22130,2513,2285,1358,1915,5663,5402,11849,2500,4387,23068,7247,4533,4027,21117,14726,17047,4323,3742,5675,17063,13756,15262,8130,5970,29002,5341,4895,4927,327178,16977,20983,15309,7968,34373,18404,16674,29800,4889,1776,37808,10792,17594,19476,10471,3708,298131,30600,22704,5840,4499,9526
