Date,"Albany County, WY","Big Horn County, WY","Campbell County, WY","Carbon County, WY","Converse County, WY","Crook County, WY","Fremont County, WY","Goshen County, WY","Hot Springs County, WY","Johnson County, WY","Laramie County, WY","Lincoln County, WY","Natrona County, WY","Niobrara County, WY","Park County, WY","Platte County, WY","Sheridan County, WY","Sublette County, WY","Sweetwater County, WY","Teton County, WY","Uinta County, WY","Washakie County, WY","Weston County, WY"
01/1990,16669,4875,16214,8682,5729,2631,16046,5928,2382,3328,37748,5711,31697,1159,12169,3827,12010,2488,20164,7287,9603,4300,3348
01/1991,16636,4734,16308,8480,5567,2508,15699,5737,2392,3181,36525,5855,31991,1097,11781,3685,12039,2524,20705,7482,9989,4319,3293
01/1992,16289,4646,16649,8155,5809,2557,15955,5918,2376,3190,37102,6016,31520,1139,11991,3738,12083,2514,21210,7825,10198,4428,3178
01/1993,15122,4781,17094,8157,5974,2654,16079,6016,2445,3096,37605,6084,31661,1063,12131,3901,12680,2613,21090,8405,10444,4492,3198
01/1994,15979,5028,17714,8393,6118,2746,17003,6360,2482,3323,38619,6183,31995,1149,13191,3944,13061,2815,21345,8900,10405,4579,3311
01/1995,16532,5088,18361,8691,6301,2913,17486,6435,2435,3412,39359,6215,32628,1142,14162,4165,13494,2877,21847,9421,10699,4713,3364
01/1996,16979,5192,18522,8461,6392,2967,17885,6452,2348,3461,39457,6158,33066,1242,14062,4178,13516,2846,21417,9662,11085,4762,3356
01/1997,17072,5406,18841,8117,6491,2780,17546,6270,2353,3501,39601,6126,33115,1143,13938,4181,13356,2816,20792,9585,10587,4762,3310
01/1998,17074,5687,18933,7999,6314,2741,17166,6285,2322,3471,39251,6116,33140,1141,13883,4369,13379,2722,21085,9990,10672,4908,3237
01/1999,18675,5686,19167,8245,6554,2995,17844,6516,2355,3611,39659,6202,33586,1316,14246,4531,13467,2977,20828,10389,10373,5055,3344
01/2000,18250,5488,19473,8105,6430,3105,17437,6208,2594,3544,39544,7268,36141,1318,13477,4297,14450,3296,20702,12902,10256,4400,3307
01/2001,18585,5263,20425,7884,6730,3017,17852,6131,2536,3331,40586,7143,36971,1176,13390,4042,14539,3486,20930,13612,10575,4349,3304
01/2002,18748,5202,22219,7708,6228,2984,18218,5976,2540,3398,40080,7204,37188,1090,13380,3976,14480,3638,20254,12610,10922,4175,3333
01/2003,18943,5096,21926,7637,6408,3002,17747,5875,2333,3466,41943,7875,37697,1133,13449,3993,15074,3794,20749,12985,10740,4208,3174
01/2004,20483,5289,21955,7403,6526,3006,17606,5647,2339,3456,41949,7956,38499,1096,13377,3985,14819,4193,21029,12951,10730,4201,3158
01/2005,19560,5189,22552,7458,6559,3104,17460,5708,2274,3569,41518,7583,39056,1104,13421,4006,14825,4506,21519,12883,10389,4261,3182
01/2006,19018,5153,24361,7290,6842,3239,17411,5754,2273,3606,41408,7738,39587,1089,13209,3929,14966,5202,22232,13138,11012,4159,3115
01/2007,18725,4570,26005,7749,6706,3275,17505,5822,2296,3685,41473,8262,40002,1152,12767,3788,15324,6282,23403,13584,10988,4126,3165
01/2008,18031,4807,26789,8547,7271,3379,18133,6016,2396,3848,42348,9026,40283,1215,13306,3931,15564,6547,24073,13865,11153,4221,3215
01/2009,19211,4840,28438,7788,7414,3520,18770,6110,2469,4001,42939,8225,41179,1260,13638,4002,16273,7610,24562,13337,11501,4265,3312
01/2010,21173,5460,26597,8150,7669,3791,20621,7429,2530,4366,46217,8485,39899,1381,14899,4872,16016,5442,22490,13057,10247,4559,4038
01/2011,21453,5571,26417,8163,7599,3893,21097,7626,2561,4429,46987,8639,40679,1367,15134,5004,16085,5655,23726,13066,10133,4596,4022
01/2012,20840,5491,26486,7991,7915,3796,21163,7547,2586,4430,47641,8313,41909,1384,15329,4782,15920,5945,24089,13263,10270,4420,3941
01/2013,20835,5445,26032,8017,8080,3689,21285,7264,2561,4369,48102,8110,43214,1330,15036,4671,15610,4975,24356,13426,10144,4373,3941
01/2014,20553,5389,25897,8470,8289,3772,20552,7308,2497,4438,48320,8087,43059,1386,14909,4677,15655,4885,23554,13813,9813,4276,3967
01/2015,20265,5407,26324,8022,8362,3668,20268,7005,2366,4182,48553,8228,43735,1321,14749,4728,15630,4801,23070,13982,9780,4257,3958
01/2016,21000,5360,25656,8146,8221,3666,20030,6990,2421,4055,48962,8569,42258,1312,14910,4707,15945,4267,22602,14515,9472,4222,3994
01/2017,20422,5179,23414,7905,7598,3563,19567,6913,2351,4097,49159,8600,40161,1283,14752,4667,15834,4107,22032,14887,9272,4141,3859
02/1990,17047,4766,16391,8659,5627,2574,15879,5916,2421,3267,37389,5761,31929,1148,12120,3757,12069,2478,20395,7393,9455,4189,3298
02/1991,16671,4638,16629,8384,5533,2568,15660,5760,2464,3183,36283,5771,31746,1069,11802,3664,12014,2510,21084,7538,9920,4219,3226
02/1992,16315,4672,16652,8111,5904,2634,16078,5967,2370,3195,36910,6003,31255,1137,12164,3816,12117,2532,21274,7826,10151,4441,3230
02/1993,15334,4787,17101,8177,5904,2695,16208,5901,2454,3051,37817,6099,31522,1049,12181,3862,12872,2595,21212,8560,10407,4513,3243
02/1994,16348,5071,17949,8381,6089,2719,17056,6330,2489,3315,38694,6189,32182,1134,13256,3909,13232,2802,21266,8977,10355,4562,3340
02/1995,16671,5170,18293,8713,6284,2915,17683,6526,2405,3415,39278,6211,32696,1166,14249,4161,13474,2819,21836,9413,10639,4677,3379
02/1996,17170,5169,18415,8385,6412,2936,17941,6438,2353,3443,39233,6146,33000,1240,14174,4140,13437,2820,21481,9731,11008,4734,3336
02/1997,17213,5322,18802,8044,6418,2754,17475,6276,2418,3498,39343,6128,32990,1127,13730,4158,13293,2728,20763,9680,10547,4737,3268
02/1998,17171,5739,19044,7982,6369,2740,17202,6247,2287,3489,39200,6048,32917,1151,13837,4399,13501,2731,21176,10040,10673,4901,3264
02/1999,18753,5638,18946,8300,6734,2986,17898,6523,2374,3672,39612,6108,33647,1308,14307,4507,13487,2926,20703,10529,10345,4920,3408
02/2000,18624,5289,19614,8080,6449,3038,17317,6120,2590,3469,39820,7129,36360,1264,13339,4392,14493,3291,20701,12816,10230,4396,3288
02/2001,18791,5228,20630,7734,6580,2942,17695,6146,2541,3299,40601,7063,37150,1150,13417,4012,14594,3434,20972,13422,10531,4256,3275
02/2002,18744,5088,22333,7558,6238,2932,18196,5946,2501,3350,40137,7073,37461,1123,13307,3946,14571,3607,20274,12653,10850,4092,3344
02/2003,19393,5077,21706,7592,6394,3004,17812,5912,2357,3493,41883,7873,37777,1145,13406,4025,15102,3780,20579,12959,10644,4148,3196
02/2004,20442,5214,21898,7355,6467,3000,17561,5763,2316,3487,41891,8019,38536,1102,13449,3999,14875,4217,21017,12809,10631,4094,3130
02/2005,19954,5016,22711,7414,6516,3079,17430,5617,2279,3547,41487,7581,39078,1096,13315,3976,14801,4490,21390,12809,10267,4148,3170
