"api","cum_gor_180","cum_gor_30","cum_gor_365","cum_gor_545","cum_gor_730","cum_gor_90","cum_oil_180","cum_oil_30","cum_oil_365","cum_oil_545","cum_oil_730","cum_oil_90","cum_water_180","cum_water_30","cum_water_365","cum_water_545","cum_water_730","cum_water_90","cum_wc_180","cum_wc_30","cum_wc_365","cum_wc_545","cum_wc_730","cum_wc_90"
"33053032160000","1194.321","1190.631","1205.677","1275.677","1329.975","1180.29","169683","31936","262305","339441","395112","104254","36256","15077","46855","58148","66312","28376","17.605","32.07","15.156","14.625","14.371","21.395"
"33053036170000","1017.419","845.32","1205.925","1316.548","1399.867","968.606","93461","23067","151827","188297","213021","63229","22620","7008","27718","33426","38146","16756","19.486","23.302","15.438","15.076","15.188","20.949"
"33053050680000","938.34","1730.823","","","","1622.325","91096","14392","","","","29348","20660","0","","","","3483","18.487","","","","","10.609"
"33025024960000","","1557.266","","","","1409.905","","15786","","","","31034","","9904","","","","18878","","38.552","","","","37.823"
"33053051180000","1532.59","","","","","1025.867","89874","14136","","","","38544","9032","7","","","","2853","9.132","0.049","","","","6.892"
"33025010660000","599.998","600.023","599.994","599.997","599.993","600.003","110412","26404","168315","214891","250383","66688","55173","24041","77257","96106","111054","39228","33.32","47.658","31.46","30.903","30.726","37.037"
"33025006720000","594.862","648.649","881.078","850.79","904.512","614.443","4554","1443","53371","84170","110160","3268","827","475","19626","32912","44940","518","15.369","24.765","26.886","28.11","28.975","13.682"
"33053051550000","1398.075","1309.105","1376.159","","","1431.24","60584","22604","84342","","","43739","25233","9822","30789","","","17779","29.403","30.291","26.743","","","28.9"
"33053043160000","1025.894","548.382","1159.324","1164.761","","869.687","69861","17455","104623","128750","","45575","31911","15469","56351","67945","","25561","31.355","46.984","35.006","34.543","","35.933"
"33053049610000","1111.5","353.623","","","","629.582","123848","18729","","","","62721","48060","9697","","","","27121","27.957","34.113","","","","30.187"
"33053033980000","2017.421","2070.965","2017.32","2082.729","2327.823","2122.167","77435","28197","140354","175379","200883","61367","36615","19162","59362","72224","87456","30733","32.104","40.461","29.723","29.169","30.331","33.369"
"33023008510000","896.878","951.66","969.403","1043.246","","912.359","32030","7861","51933","64422","","19363","44232","16660","67434","82711","","31032","58.0","67.942","56.493","56.215","","61.578"
"33053039560000","1192.099","1136.121","1199.111","1194.708","1178.846","1176.398","57866","15354","89578","115224","139092","36701","61190","29042","80754","96089","110324","43864","51.396","65.416","47.41","45.472","44.233","54.445"
"33105033180000","","1006.093","","","","637.703","","4267","","","","14455","","27061","","","","43950","","86.38","","","","75.25"
"33023008800000","771.287","1048.292","727.044","715.988","726.367","850.818","45638","10892","78368","102552","119112","27825","56950","14792","90658","114574","133585","35758","55.513","57.592","53.636","52.768","52.864","56.238"
"33061032610000","","","","","","","","","","","","","","","","","","","","","","","",""
"33105020610000","1459.585","1055.239","1558.961","1583.806","1585.686","1317.288","52406","15080","72556","86104","97414","35359","40063","15817","56932","69584","80855","29486","43.326","51.193","43.967","44.695","45.356","45.472"
"33061011880000","385.279","150.822","471.924","497.803","498.828","341.87","62508","14421","162378","227596","272547","39752","14230","3144","37484","52204","60265","8805","18.544","17.899","18.755","18.658","18.108","18.133"
"33025022140000","971.766","928.485","","","","979.18","60883","18947","","","","35255","24251","5838","","","","13739","28.486","23.555","","","","28.042"
"33025024380000","","1250.257","","","","1596.242","","4871","","","","25545","","25180","","","","77366","","83.791","","","","75.178"
"33105022590000","900.258","890.424","912.434","918.766","932.992","912.103","86523","28948","129343","165915","193007","56623","67716","30923","93312","126559","150163","49635","43.903","51.649","41.909","43.272","43.758","46.712"
"33053033990000","658.337","1164.922","782.825","756.482","822.104","723.803","31294","10320","52985","68771","79260","20880","48593","10097","83030","101765","123835","25228","60.827","49.454","61.045","59.674","60.974","54.715"
"33105035220000","","1901.874","","","","1816.844","","18201","","","","49455","","10397","","","","28413","","36.356","","","","36.489"
"33061007780000","64.316","50.425","88.749","108.885","126.395","51.387","28562","6346","41578","50420","58072","18098","16851","4651","23896","28960","33301","11285","37.106","42.293","36.497","36.483","36.445","38.407"
"33053039780000","2759.694","2276.521","2982.941","2814.096","","2559.412","149172","43183","213784","266310","","100257","30912","16115","37688","46196","","24685","17.165","27.176","14.987","14.782","","19.757"
"33053017260000","343.506","231.285","621.209","654.753","622.865","408.328","3080","895","5639","8226","9604","1489","14798","3867","27418","40515","55630","6897","82.772","81.205","82.942","83.123","85.278","82.244"
"33025013030000","1458.234","4818.225","1550.253","1424.706","1279.143","2059.865","32215","2129","57748","80272","98487","12712","45362","9324","73830","97412","115147","29515","58.474","81.411","56.111","54.823","53.899","69.896"
"33105018590000","1092.736","1066.381","991.835","1070.451","1135.233","1188.853","49517","17716","74219","94420","108849","36028","21572","630","33432","51349","64078","14118","30.345","3.434","31.056","35.226","37.055","28.154"
"33105018140000","1216.033","992.607","1119.246","1035.755","984.366","1245.286","32981","4193","49922","58453","69720","16442","19537","4482","28321","34398","40183","11158","37.201","51.666","36.196","37.046","36.562","40.428"
"33053053060000","1415.181","1321.962","","","","1396.807","62869","20372","","","","41597","105271","51296","","","","78653","62.609","71.574","","","","65.408"
"33025014680000","228.158","233.669","420.462","477.688","502.17","200.142","68847","19840","99826","130962","158751","47971","35031","14247","66517","88064","107825","25804","33.723","41.796","39.988","40.207","40.448","34.977"
"33025020020000","1044.906","973.66","1064.442","1071.389","","1017.092","34784","11807","54731","70851","","22291","29128","7084","50768","70995","","16333","45.575","37.499","48.122","50.051","","42.287"
"33105030170000","940.075","1053.755","942.488","","","1031.679","48427","14380","70838","","","30588","60362","26003","79604","","","43476","55.485","64.391","52.913","","","58.701"
"33023011810000","","726.638","","","","683.903","","4580","","","","15916","","30905","","","","52951","","87.093","","","","76.889"
"33061027480000","","","","","","","","","","","","","","","","","","","","","","","",""
