"api","file_no","Current_Operator","Current_Well_Name","Lease_Name","Lease_Number","Original_Operator","Original_Well_Name","Spud_Date","TD","County_Name","Township","Range","Section","QQ","Footages","Field_Name","Produced_Pools","Wellbore","Latitude","Longitude","Well_Type","Well_Status","CTB","Well_Status_Date"
"33011013190000","16064","CONTINENTAL RESOURCES, INC.","MPHU  44-9","MPHU","44-9","CONTINENTAL RESOURCES, INC.","MPHU  44-9","05/06/2010","","BOWMAN","130 N","104 W","9","SESE","426 FSL  315 FEL","MEDICINE POLE HILLS","RED RIVER","HORIZONTAL RE-ENTRY","46.091078164578803","-103.68184276963713","OG","A","404538","08/07/2010"
"33025005960000","16327","MARATHON OIL COMPANY","BENZ  14-21H","BENZ","14-21H","PROSPECTIVE INVESTMENT & TRADING CO., LTD.","BENZ  1-21H","06/26/2010","20210","DUNN","146 N","94 W","21","SWSW","660 FSL  400 FWL","BAILEY","BAKKEN","HORIZONTAL","47.446327899595744","-102.67159033122074","OG","A","116327","09/19/2010"
"33007015830000","16431","WHITING OIL AND GAS CORPORATION","BSMU  1305","BSMU","1305","WHITING OIL AND GAS CORPORATION","BSMU  1305","04/10/2010","9510","BILLINGS","142 N","101 W","13","SESE","906 FSL  1197 FEL","BIG STICK","MADISON","DIRECTIONAL","47.112737338155959","-103.4180298179535","OG","A","406270","05/26/2010"
"33007015840000","16435","WHITING OIL AND GAS CORPORATION","BSMU  3204","BSMU","3204","WHITING OIL AND GAS CORPORATION","BSMU  3203","01/28/2012","9505","BILLINGS","142 N","100 W","32","NENW","1131 FNL  1776 FWL","BIG STICK","MADISON","DIRECTIONAL","47.078109160699363","-103.38454376199063","OG","A","406270","04/04/2012"
"33061005310000","16587","EOG RESOURCES, INC.","ROSS  20-16H","ROSS","20-16H","EOG RESOURCES, INC.","EDITH  1-16H","05/03/2010","14770","MOUNTRAIL","156 N","92 W","16","NWNW","300 FNL  1200 FWL","ALGER","BAKKEN","HORIZONTAL","48.340815383919356","-102.52085721701275","OG","A","116587","07/28/2010"
"33061005330000","16628","EOG RESOURCES, INC.","PAUL  1-19H","PAUL","1-19H","EOG RESOURCES, INC.","PAUL  1-19H","02/27/2009","14412","MOUNTRAIL","153 N","89 W","19","LOT1","450 FNL  433 FWL","PARSHALL","BAKKEN","HORIZONTAL","48.065259758678657","-102.17873636272742","OG","A","116628","06/25/2009"
"33061005520000","16728","EOG RESOURCES, INC.","RUUD  1-18H","RUUD","1-18H","EOG RESOURCES, INC.","RUUD  1-18H","08/18/2010","13796","MOUNTRAIL","152 N","89 W","18","LOT 1","450 FNL  325 FWL","PARSHALL","BAKKEN","HORIZONTAL","47.991234488961368","-102.12697177225161","OG","A","116728","10/24/2010"
"33061005580000","16746","EOG RESOURCES, INC.","PEDERSON  1-33H","PEDERSON","1-33H","EOG RESOURCES, INC.","PEDERSON  1-33H","02/13/2009","14380","MOUNTRAIL","153 N","90 W","33","NWNW","475 FNL  775 FWL","PARSHALL","BAKKEN","HORIZONTAL","48.036188803406162","-102.26365005635645","OG","A","216746","06/21/2009"
"33025006570000","16758","MARATHON OIL COMPANY","SCHOLLMEYER  21-4H","SCHOLLMEYER","21-4H","MARATHON OIL COMPANY","SCHOLLMEYER  21-4H","07/20/2009","19608","DUNN","144 N","94 W","4","LOT 3","660 FNL  1980 FWL","BAILEY","BAKKEN","HORIZONTAL","47.32673173324735","-102.60130884443997","OG","A","116758","04/09/2010"
"33025006620000","16764","MARATHON OIL COMPANY","KNUDSVIG  34-7H","KNUDSVIG","34-7H","MARATHON OIL COMPANY","KNUDSVIG  34-7H","09/20/2010","19970","DUNN","145 N","93 W","7","SWSE","660 FSL  1375 FEL","BAILEY","BAKKEN","HORIZONTAL","47.388383190481029","-102.57235322055391","OG","A","116764","12/16/2010"
"33061005630000","16772","MARATHON OIL COMPANY","PENNINGTON  41-4H","PENNINGTON","41-4H","MARATHON OIL COMPANY","PENNINGTON  41-4H","02/24/2009","19711","MOUNTRAIL","151 N","93 W","4","LOT 1","400 FNL  1280 FEL","REUNION BAY","BAKKEN","HORIZONTAL","47.933302425954963","-102.58333331115463","OG","A","216772","05/29/2009"
"33025006720000","16811","MARATHON OIL COMPANY","T KUPPER USA  34-11H","T KUPPER USA","34-11H","PDC CORPORATION","KUPPER  34-11H","08/27/2010","20270","DUNN","146 N","95 W","11","SWSE","650 FSL  2370 FEL","CHIMNEY BUTTE","BAKKEN","HORIZONTAL","47.475087550905947","-102.74609385062232","OG","IA","216811","02/01/2011"
"33105016560000","16838","XTO ENERGY INC.","THOMAS  44X-18","THOMAS","44X-18","HEADINGTON OIL COMPANY LLC","MENDENHALL  44X-18","01/27/2010","20367","WILLIAMS","154 N","95 W","18","SESE","500 FSL  360 FEL","GRINNELL","BAKKEN","HORIZONTAL","48.155201860271106","-102.93717620150778","OG","A","116838","03/30/2010"
"33007016120000","16882","DENBURY ONSHORE, LLC","TRMU  13X-22H","TRMU","13X-22H","ENCORE OPERATING, L.P.","TRMU  13X-22H","12/22/2011","11977","BILLINGS","141 N","101 W","22","NWSW","1910 FSL  1010 FWL","T. R.","MADISON","HORIZONTAL","47.013998576405129","-103.47256237338195","OG","A","406546","02/04/2012"
"33007016150000","16906","DENBURY ONSHORE, LLC","TRMU  22X-16H","TRMU","22X-16H","ENCORE OPERATING, L.P.","TRMU  22X-16H","05/23/2012","11894","BILLINGS","141 N","101 W","16","SENW","2500 FNL  2550 FWL","T. R.","MADISON","VERTICAL","47.030639422510397","-103.48736917616522","OG","A","116906","08/16/2012"
"33061006070000","16934","WHITING OIL AND GAS CORPORATION","FLADELAND  11-12H","FLADELAND","11-12H","FIDELITY EXPLORATION & PRODUCTION COMPANY","FLADELAND  11-12H","03/18/2009","19875","MOUNTRAIL","153 N","92 W","12","NWNW","500 FNL  500 FWL","SANISH","BAKKEN","HORIZONTAL","48.094262684850953","-102.45884424899647","OG","A","216934","05/16/2009"
"33007016180000","16966","DENBURY ONSHORE, LLC","TRMU  24X-12H","TRMU","24X-12H","ENCORE OPERATING, L.P.","TRMU  24X-12H","11/21/2011","12265","BILLINGS","141 N","101 W","12","SESW","978 FSL  1847 FWL","T. R.","MADISON","HORIZONTAL","47.040601932068455","-103.42700798861306","OG","A","116966","01/25/2012"
